Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-10-12,51837.74,51888.15,51411.92,51569.81,59479545
2015-10-13,51455.24,51476.99,51036.01,51310.64,60417408
2015-10-14,51111.87,51488.55,50971.94,51174.59,65361655
2015-10-15,51360.47,51632.93,51360.47,51599.62,57553560
2015-10-16,51807.6,51909.32,51391.65,51391.65,49939357
2015-10-19,51381.67,51594.67,51178.89,51264.77,42953982
2015-10-20,51193.74,51465.12,51169.05,51442.51,44728134
2015-10-21,51509.95,51542.18,51101.16,51183.06,47629171
2015-10-22,51216.9,51255.64,50919.24,51094.29,54555126
2015-10-23,51192.96,51402.78,51090.18,51157.09,48712724
2015-10-26,50787.47,51433.35,50787.47,51233.42,54241010
2015-10-27,51193.23,51290.19,51056.76,51277.72,45519269
2015-10-28,51168.93,51198.42,50940.54,51198.42,37262176
2015-10-29,51122.21,51148.41,50156.06,50262.68,49339447
2015-10-30,50287.77,50344.86,49992.51,50271.65,40282550
2015-11-02,50320.78,50706.89,50229.38,50642.89,34757596
2015-11-03,50750.34,50767.7,50349.68,50367.53,42991792
2015-11-04,50460.1,50776.76,50274.73,50466.34,56212378
2015-11-05,50392.4,50504.31,50095.48,50125.85,46145541
2015-11-06,50120.65,50155.47,49544.32,49599.29,58990939
2015-11-09,49671.72,49786.8,49197.77,49428.71,47803021
2015-11-10,49492.49,49718.38,49276.83,49538.05,55894116
2015-11-12,49714.75,49778.74,49159.12,49358.2,45862385
2015-11-13,49165.01,49285.51,48656.31,48697.1,50941751
2015-11-16,48448.78,48654.85,48252.45,48462.93,60417628
2015-11-17,48652.56,49193.85,48652.56,49119.09,56869606
2015-11-18,49101.96,49349.54,48862.75,49345.31,60601335
2015-11-19,49467.17,49533.78,49091.96,49177.74,39740937
2015-11-20,49298.4,49434.92,49198.96,49434.43,39792425
2015-11-23,49219,49219,48247.17,48597.23,61429863
2015-11-24,48631.52,48631.52,47603.61,47908.15,53658333
2015-11-25,48035.21,48222.26,47748.35,47945.27,61558122
2015-11-26,48110.58,48418.14,48061.9,48418.14,42890481
2015-11-27,48341.22,48398.54,47919.88,47996.8,37288087
2015-11-30,47976.54,48216.46,47748.3,47915.91,81912355
2015-12-01,48057.16,48267.19,47750.36,47803.6,48202486
2015-12-02,47761.45,47831,46830.2,47002.61,65791078
2015-12-03,46893.36,47288.48,46626.55,46693.09,68333527
2015-12-04,46543.7,46612.96,45349.68,46537.67,86147725
2015-12-07,46820.74,46984.87,46468.19,46510.96,63524589
2015-12-08,46433.78,46709.17,45488.85,45609,89234541
2015-12-09,45624.06,45733.66,44661.48,44670.09,106754780
2015-12-10,44824.16,45355.71,44814.25,45093.65,112577960
2015-12-11,45514.45,45602.99,44220.32,44220.32,102173270
2015-12-14,44294.52,44329.42,43724.52,43887.16,54153840
2015-12-15,44029.98,44307.89,44011.96,44304.68,51925267
2015-12-16,44454.99,45033.61,44357.46,44894.37,61481574
2015-12-17,45151.17,46087.02,45143.91,45684.05,83158266
2015-12-18,45500.83,46068.73,45474.41,45996.81,76201286
2015-12-21,45942.02,46324.25,45875.28,46247.43,47970501
2015-12-22,46304.38,46468.12,46037.29,46421.28,43253596
2015-12-23,46551.09,46649.73,46426.37,46564.08,35721223
2015-12-28,46493.65,46577.27,46386.72,46564.67,37261082
2015-12-29,46786.58,47182.23,46760.95,47042.15,38220125
2015-12-30,47101.11,47165.44,46426.75,46467.38,58799767
2016-01-04,45701.18,45701.18,45271.24,45356.65,30060498
2016-01-05,45531.14,45621.02,44906.24,45200.77,47254953
2016-01-07,44338,44518.15,44094.25,44195.91,59752874
2016-01-08,44373.03,44463.67,43586.89,43770.51,51496932
2016-01-11,43671.6,43772.17,43239.85,43241.06,53848960
2016-01-12,43543.04,44281.67,43543.04,44214.32,62848329
2016-01-13,44559.52,44905.71,44408.06,44708.04,81726785
2016-01-14,44391.18,44596.08,43981.65,44596.08,68052136
2016-01-15,44354.09,44479.75,43719.53,43719.53,67633827
2016-01-18,43155.99,43392.12,42464.6,42464.6,54240319
2016-01-19,42962.05,43204.3,42738.28,42738.28,61699825
2016-01-20,42392.13,42824.73,41964.77,42152.7,90804699
2016-01-21,42358.3,42770.38,41747.01,42180.3,72031636
2016-01-22,42636.69,43105.88,42636.69,43039.42,82373271
2016-01-25,43286.11,43344.42,42971.63,43202.95,52083112
2016-01-26,42781.33,43105.62,42711.67,42924.6,62071840
2016-01-27,42936.37,43236.46,42923.41,43236.46,56883769
2016-01-28,43232.44,43911,43232.44,43778.96,62767843
2016-01-29,44012.48,44290.05,43831.78,44290.05,71011134
2016-02-01,44257.2,44294.89,44002.51,44294.89,48891225
2016-02-02,44340.44,44343.17,43526.53,43563.88,56312332
2016-02-03,43581.47,43814.46,43427.62,43630.57,63835538
2016-02-04,43968.87,44557.64,43941.73,44557.64,63194729
2016-02-05,44608.41,44906.53,44477.49,44671.66,52815543
2016-02-08,44646.14,44700.02,43985.24,44155.15,36833475
2016-02-09,44038.76,44129.14,43631.35,44006.87,45454763
2016-02-10,44104.2,44447.59,43858.58,43858.58,49129178
2016-02-11,43801.86,43861.55,43230.24,43741.96,41578270
2016-02-12,43862.54,44168.36,43849.4,43849.4,50187339
2016-02-15,44314.5,44521.04,44239.56,44377.27,63468649
2016-02-16,44437.73,44468.29,43971.05,44288.45,52810995
2016-02-17,44322.7,45639.62,44322.7,45639.62,90611294
2016-02-18,45677.49,46278.94,45559,45834.88,68710715
2016-02-19,45693.93,45768.13,45385.24,45455.8,51557703
2016-02-22,45841.77,46272.05,45841.77,45911.56,59233698
2016-02-23,45647.66,46005.16,45545.7,45760.95,40822416
2016-02-24,45744.68,45819.1,45108.5,45192.06,38262368
2016-02-25,45385.3,45680.88,45276.37,45497.77,37427560
2016-02-26,45804.33,46043.65,45724.22,45770.44,57205144
2016-02-29,45605.45,45625.26,45210.9,45430.29,80761289
2016-03-01,45480.07,45520.54,44843.16,45344.54,66630484
2016-03-02,45622.08,45664.51,45083.11,45371.99,49235100
2016-03-03,45487.76,46448.27,45404.46,46448.27,57244270
2016-03-04,46562.2,46562.2,46202.08,46400.67,55320032
2016-03-07,46467.99,46843.48,46399.3,46843.48,50522319
2016-03-08,46620,46829.09,46387.19,46534.99,42971382
2016-03-09,46499.97,46557.26,46229.69,46482.03,42394451
2016-03-10,46473.38,47049.18,46420.92,46686.74,61167208
2016-03-11,46938.2,47267.12,46907.59,47182.13,69611023
2016-03-14,47427.54,47554.71,47100.8,47299.51,56072408
2016-03-15,47199.25,47287.2,46996.34,47114.63,61849839
2016-03-16,47212.18,47288.6,46829.51,47077.47,76328475
2016-03-17,47292.94,47937.57,47201.01,47833.39,78049006
2016-03-18,47811.47,48228.56,47771.38,48211.45,105062792
2016-03-21,48029.37,48164.67,47815.24,48051.62,51451730
2016-03-22,47956.74,48166.78,47679.88,48166.78,67727702
2016-03-23,48171.2,48306.62,47557.94,47748.48,57738744
2016-03-24,47656.19,47778.01,47353.41,47778.01,42199275
2016-03-29,47885.22,48221.62,47835.98,48135.98,50081320
2016-03-30,48380.66,48990.52,48329.95,48990.52,60382930
2016-03-31,48788.28,49017.35,48620.24,49017.35,69283748
2016-04-01,48745.62,48795.67,48241.55,48506.46,41421633
2016-04-04,48535.72,48815.8,48347.97,48815.8,33706373
2016-04-05,48569.08,48598.6,47790.29,47790.29,48020074
2016-04-06,47941,47948.6,47308.65,47352.08,43295886
2016-04-07,47589.06,47762.81,47025.11,47231.36,44093410
2016-04-08,47336.78,47556.03,47205.98,47556.03,36568235
2016-04-11,47556.88,47788.14,47373.74,47476.31,32070380
2016-04-12,47512.7,47587.82,47076.84,47351.22,33297947
2016-04-13,47698.46,48138.55,47698.46,48124.56,48540456
2016-04-14,48092.35,48333.52,47993.6,48285.21,41510907
2016-04-15,48291.55,48291.55,47879.97,48095.43,39272183
2016-04-18,47793.92,48195.06,47700.97,48195.06,38464179
2016-04-19,48401.11,48650,48345.75,48596.34,47314826
2016-04-20,48535.73,48632.8,48357.73,48632.8,62036306
2016-04-21,48830.14,48847.22,48274.69,48514.39,66843541
2016-04-22,48494.11,48545.02,48114.28,48446.39,53751069
2016-04-25,48365.58,48423.27,47970.8,48139.15,49593720
2016-04-26,48123.6,48222.64,47803.34,47914.18,53140016
2016-04-27,47866.06,48003.74,47398.13,47513.91,47027222
2016-04-28,47466.14,47664.57,47212.65,47643.7,52951244
2016-04-29,47613.78,47661.89,47344.27,47641.99,41553274
2016-05-02,47681.11,47954.08,47566.43,47720.21,16836928
2016-05-04,47457.73,47528.05,46918.77,47020.92,46268395
2016-05-05,46939.33,46948.81,46405.1,46430.16,32467261
2016-05-06,46487.6,46775.3,46228.42,46663.67,57345983
2016-05-09,46790.7,46861.92,46569.48,46628.94,41187465
2016-05-10,46649.26,46744.51,46033.12,46178.72,38491456
2016-05-11,46157.22,46242.77,45972.42,46053.07,40847470
2016-05-12,46090.27,46409.74,45969.61,46022.02,36787973
2016-05-13,46020.87,46261.22,45933.17,46063.67,27326362
2016-05-16,46463.09,46914.82,46450.95,46825.77,34884630
2016-05-17,46997.32,47143.86,46665.23,46711.75,53273517
2016-05-18,46663.77,46808.35,46410.41,46609.83,42250363
2016-05-19,46489.7,46579.81,45694.16,45751.68,42107008
2016-05-20,45770.12,45988.68,45549.91,45784.76,33584833
2016-05-23,45801.86,46103.97,45618.02,46042.23,30012548
2016-05-24,45968.72,46343.29,45916.01,46275.18,38406967
2016-05-25,46447.69,46837.08,46429.52,46695.37,44340339
2016-05-27,46733.82,46852.3,46559.82,46634.55,32284275
2016-05-30,46658.48,46662.16,46346.64,46572.23,21157931
2016-05-31,46710.74,46713.89,45844.15,45844.15,67515419
2016-06-01,45851.15,45855.95,44611.54,44700.67,54913418
2016-06-02,44659.94,44973.49,44499.31,44772.72,40522222
2016-06-03,44809.53,45524.31,44793.96,45523.93,48445950
2016-06-06,45741.08,45783.06,45251.85,45582.8,23196283
2016-06-07,45709.98,46365.69,45709.98,46365.69,39536734
2016-06-08,46263.25,46693.34,45978.31,46551.54,40580297
2016-06-09,46520.31,46543.23,45928.98,45940.12,33551768
2016-06-10,46002.11,46002.11,45253.03,45348.2,30768676
2016-06-13,44965.76,45142.43,44716.3,45117.85,28990672
2016-06-14,45007.47,45014.04,44459.23,44729.08,35624523
2016-06-15,44874.83,44987.01,44741.49,44916.52,38284625
2016-06-16,44438.79,44486.44,43828.13,44007.81,63427569
2016-06-17,44242.42,44694.89,44230.53,44606.86,60781699
2016-06-20,45001.12,45430.36,44964.07,45344.03,33302233
2016-06-21,45197.91,45782.01,45197.91,45782.01,41320930
2016-06-22,45853.19,46229.57,45619.66,46196.74,43697234
2016-06-23,46133.06,46826.85,46039.95,46826.85,40875771
2016-06-24,43079.47,44773.75,42812.99,44773.75,77108256
2016-06-27,44662.18,44691.48,44045.53,44045.53,43032760
2016-06-28,44507.9,44741.82,44388.16,44613.59,72286772
2016-06-29,44835.96,44897.75,44574.73,44807.16,50662185
2016-06-30,44735.14,44800.29,44490.12,44748.53,54489885
2016-07-01,44973.52,45028.11,44485.09,44754.05,32766717
2016-07-04,44316.43,44409.69,43872.21,44294.15,37528515
2016-07-05,44344.85,44422.31,44117.31,44118.09,29185712
2016-07-06,44074.59,44159.23,43534.02,43549.58,47036890
2016-07-07,43790.36,44273.56,43778.8,44077.16,44728007
2016-07-08,44151.71,44320.11,44024.66,44024.66,32048913
2016-07-11,44490.94,44875.62,44490.94,44875.62,37830188
2016-07-12,44985.3,45260.79,44952.51,45140.51,45814356
2016-07-13,45160.39,45310.02,44837.76,45017.78,51847736
2016-07-14,45197.13,45246.26,44951.37,45246.26,41605707
2016-07-15,45243.97,45660.97,45220.3,45540.6,43276993
2016-07-18,45741.46,46162.79,45713.13,46118.19,34532765
2016-07-19,46226.05,46251.65,45958.4,46251.65,32103442
2016-07-20,46414.89,46504.82,46165.3,46504.82,33760277
2016-07-21,46487.36,46639.17,46366.07,46639.17,35543400
2016-07-22,46513.8,46638.15,46298.03,46541.69,33567596
2016-07-25,46781.98,47069.57,46781.98,47026.01,32594757
2016-07-26,46997.25,47003.64,46736.58,46905.6,37679646
2016-07-27,46818.98,46875.93,46565.2,46803.82,46758865
2016-07-28,46780.65,46815.11,46599.72,46718.98,40754669
2016-07-29,46754.14,46754.14,46104.84,46171.72,52689702
2016-08-01,46328.4,46499.32,46052.49,46221.38,33395282
2016-08-02,46700.67,47273.66,46540.18,47031.7,138314554
2016-08-03,47095.32,47143.85,46701.79,46762.24,53899507
2016-08-04,46931.66,47407.09,46881.97,47407.09,47662191
2016-08-05,47451.97,47634.1,47310.67,47604.22,32670011
2016-08-08,47701.25,47935.86,47701.25,47910.99,30765056
2016-08-09,47919.88,48301.34,47712.78,48260.19,40408937
2016-08-10,48218.19,48400.99,48109.81,48400.99,42934138
2016-08-11,48445.06,48675.96,48282.04,48675.96,48258627
2016-08-12,48660.74,48776.53,48559.68,48631.44,45773635
2016-08-16,48605.94,48646.21,48376.17,48463.51,43420251
2016-08-17,48450.02,48466.65,47920.61,48006.75,43789056
2016-08-18,48003.25,48113.24,47686.81,47967.07,39925313
2016-08-19,48055.68,48074.18,47489.01,47536.72,50034486
2016-08-22,47513.29,47751.24,47475.27,47619.49,46633019
2016-08-23,47501.33,47671.1,47282.2,47524.92,55052963
2016-08-24,47376.54,47541.92,47220.32,47478.83,47100475
2016-08-25,47535.17,47535.17,47288.23,47464.07,61970861
2016-08-26,47377.37,47541.63,47343.22,47456.36,48569078
